wd:Q21712852	wd:Q184358	Southampton Reef	reef
wd:Q21735507	wd:Q184358	Ḩālat Idayy	reef
wd:Q21713903	wd:Q184358	Double Breaster Bars	reef
wd:Q21714164	wd:Q184358	Labanderas Reef	reef
wd:Q21712957	wd:Q184358	Turtle Reef	reef
wd:Q21713930	wd:Q184358	East Reef	reef
wd:Q21053067	wd:Q184358	Weymouth Reef	reef
wd:Q21053692	wd:Q184358	Eliza Reef	reef
wd:Q21054733	wd:Q184358	Sam-Sam Reef	reef
wd:Q21054793	wd:Q184358	Sea Devil Reef	reef
wd:Q21054867	wd:Q184358	Waham Reef	reef
wd:Q21732932	wd:Q184358	Ḩadd aţ Ţayr	reef
wd:Q21779373	wd:Q184358	Pomorijski Rif	reef
wd:Q21052132	wd:Q184358	Arrecife Specks	reef
wd:Q21052153	wd:Q184358	Auiapuni Reef	reef
wd:Q21052234	wd:Q184358	Barra de Auastara	reef
wd:Q21052259	wd:Q184358	Barra Sandy Bay	reef
wd:Q21053460	wd:Q184358	Miskitos Reef	reef
wd:Q21053663	wd:Q184358	Nee Reef	reef
wd:Q21735103	wd:Q184358	Fasht ‘Azīzī	reef
wd:Q21713932	wd:Q184358	Egg Reef	reef
wd:Q21713539	wd:Q184358	Middle Ground	reef
wd:Q21052396	wd:Q184358	Bushukura Reefs	reef
wd:Q21746123	wd:Q184358	Harrison Reefs	reef
wd:Q21053755	wd:Q184358	Porgee Reef	reef
wd:Q21713891	wd:Q184358	Diamond Point	reef
wd:Q21745882	wd:Q184358	Saint Martins Reef	reef
wd:Q20926126	wd:Q184358	Marwadī	reef
wd:Q21749807	wd:Q184358	Gupta Crossing	reef
wd:Q21052242	wd:Q184358	Barra de Sanawala	reef
wd:Q21052251	wd:Q184358	Barra Karaslaya	reef
wd:Q21053383	wd:Q184358	Martinez Reefs	reef
wd:Q21053538	wd:Q184358	Compass Reef	reef
wd:Q21053788	wd:Q184358	Fendleys Reef	reef
wd:Q21052267	wd:Q184358	Barra Willing Cay	reef
wd:Q21053386	wd:Q184358	Mary Isabella Reef	reef
wd:Q21053669	wd:Q184358	Northwest Spot	reef
wd:Q21054910	wd:Q184358	White Reef	reef
wd:Q21052263	wd:Q184358	Barra Sikia Pakia	reef
wd:Q21052362	wd:Q184358	Boden Reef	reef
wd:Q21053786	wd:Q184358	Farrel Reef	reef
wd:Q21054689	wd:Q184358	Rockfish Reef	reef
wd:Q21054768	wd:Q184358	Turtle Hole	reef
wd:Q21053868	wd:Q184358	Franklin Reef	reef
wd:Q21052127	wd:Q184358	Arrecife Edinburgh	reef
wd:Q21052124	wd:Q184358	Arrecife Conway	reef
wd:Q21052156	wd:Q184358	Auikera	reef
wd:Q21052715	wd:Q184358	Lamarka Reef	reef
wd:Q21052970	wd:Q184358	Loggerhead Reef	reef
wd:Q21052145	wd:Q184358	Arthur Jackson Reef	reef
wd:Q21052238	wd:Q184358	Barra de Dákura	reef
wd:Q21053586	wd:Q184358	Dennis Prong	reef
wd:Q21053362	wd:Q184358	London Reef	reef
wd:Q21053604	wd:Q184358	Cayman Reef	reef
wd:Q21053666	wd:Q184358	Northwest Reef	reef
wd:Q21054782	wd:Q184358	Ualpatara Reefs	reef
wd:Q21054794	wd:Q184358	Uiplin Reefs	reef
wd:Q21054817	wd:Q184358	Shackle Reef	reef
wd:Q21054913	wd:Q184358	Witties Reef	reef
wd:Q21053369	wd:Q184358	Long Reef	reef
wd:Q21781818	wd:Q184358	Burgaski rifove	reef
wd:Q21839632	wd:Q184358	Banco Ferreyra	reef
wd:Q21971805	wd:Q184358	S. E. Reef	reef
wd:Q21972030	wd:Q184358	Godfey Islands Reef	reef
