c1		c2		c1parents		c2parents		conf		match		info		alt_c1		alt_c2		ignored_c1		ignored_c2	
sweet:phenAtmo/AtmosphericWave	atmospheric wave	wd:Q757526	atmospheric wave	sweet:phenWave/FluidWave	fluid wave	wd:Q4072190	atmospheric phenomenon	high		atmospheric wave		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:phenAtmoCloud/Altostratus	altostratus	wd:Q202145	altostratus	sweet:phenAtmoCloud/Stratiform	stratiform	wd:Q1840368	cloud genera	high		altostratus		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:phenAtmoCloud/Cirrostratus	cirrostratus	wd:Q201564	cirrostratus	sweet:phenAtmoCloud/Stratiform	stratiform	wd:Q1840368	cloud genera	high		cirrostratus		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:phenAtmoCloud/Nimbostratus	nimbostratus	wd:Q202278	nimbostratus	sweet:phenAtmoCloud/Cloud	cloud	wd:Q1840368	cloud genera	high		nimbostratus		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:phenAtmoCloud/RollCloud	roll cloud	wd:Q1423153	roll cloud	sweet:phenAtmoCloud/Cloud	cloud	wd:Q29851519	variety of cloud	high		roll cloud		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:phenAtmoCloud/Stratocumulus	stratocumulus	wd:Q40564	stratocumulus	sweet:phenAtmoCloud/Stratiform	stratiform	wd:Q1840368	cloud genera	high		stratocumulus		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:phenAtmoPrecipitation/ConvectiveStorm	convective storm	wd:Q12030109	convective storm	sweet:phenAtmoPrecipitation/Storm	storm	wd:Q2857578	thunderstorm	high		convective storm		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:phenAtmoPressure/BowEcho	bow echo	wd:Q890489	Bow echo	sweet:phenFluidDynamics/CellCluster	cell cluster	wd:Q37993700	radar echo	high		bow echo		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:phenAtmoPressure/Cyclogenesis	cyclogenesis	wd:Q245472	cyclogenesis	sweet:phenAtmo/MeteorologicalPhenomena	meteorological phenomena	wd:Q1969448	term	high		cyclogenesis		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:phenAtmoPressure/Mesocyclone	mesocyclone	wd:Q2002856	Mesocyclone	sweet:phenAtmoPressure/AtmosphericCyclone	atmospheric cyclone	wd:Q760129	vertical draft	high		mesocyclone		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:phenAtmoPressure/SubtropicalCyclone	subtropical cyclone	wd:Q2331851	subtropical cyclone	sweet:phenAtmoPressure/AtmosphericCyclone	atmospheric cyclone			high		subtropical cyclone		[info(label,label,downcase)]	[info(label,label,downcase)]								
