c1		c2		c1parents		c2parents		conf		match		info		alt_c1		alt_c2		ignored_c1		ignored_c2	
obo:ENVO_00000174	isthmus	wd:Q93267	isthmus	obo:ENVO_00000000	geographic feature	wd:Q271669	landform	high		isthmus		[info(exact,label,downcase),info(label,label,downcase)]	[info(exact,label,downcase),info(label,label,downcase)]								
obo:ENVO_00000175	karst	wd:Q16817	karst	obo:ENVO_00000191	solid astronomical body part	wd:Q107425	landscape	high		karst		[info(exact,label,downcase),info(label,label,downcase)]	[info(exact,label,downcase),info(label,label,downcase)]								
obo:ENVO_00000177	moraine	wd:Q2610088	moraine	obo:ENVO_00000000	geographic feature	wd:Q2421276	glacial landform	high		moraine		[info(exact,label,downcase),info(label,label,downcase)]	[info(exact,label,downcase),info(label,label,downcase)]								
obo:ENVO_00000178	levee	wd:Q105190	levee	obo:ENVO_00000012|obo:ENVO_00000070|obo:ENVO_00002000	hydrographic feature|construction|slope	wd:Q1411945|wd:Q19816755|wd:Q2630707	civil engineering construction|artificial landform|flood defense	high		levee		[info(label,label,downcase)]	[info(label,label,downcase)]								
obo:ENVO_00000180	mound	wd:Q1584134	mound	obo:ENVO_00000477	mount	wd:Q811430	construction	high		mound		[info(label,label,downcase)]	[info(label,label,downcase)]								
obo:ENVO_00000181	nunatak	wd:Q194408	nunatak	obo:ENVO_00000480	peak	wd:Q35145263	natural geographic object	high		nunatak		[info(label,label,downcase)]	[info(label,label,downcase)]								
obo:ENVO_00000182	plateau	wd:Q75520	plateau	obo:ENVO_01001491	flattened elevation	wd:Q271669	landform	high		plateau		[info(exact,label,downcase),info(label,label,downcase)]	[info(exact,label,downcase),info(label,label,downcase)]								
obo:ENVO_00000184	hanging valley	wd:Q1006357	hanging valley	obo:ENVO_00000248	glacial valley	wd:Q1410408	side valley	high		hanging valley		[info(exact,label,downcase),info(label,label,downcase)]	[info(exact,label,downcase),info(label,label,downcase)]								
obo:ENVO_00000188	palsa mire	wd:Q61748425	Palsa mire	obo:ENVO_00000044	peatland	wd:Q1681353	bog	high		palsa mire		[info(label,label,downcase)]	[info(label,label,downcase)]								
obo:ENVO_00000192	mudflat	wd:Q31796	mudflat	obo:ENVO_00000230	coastal wetland ecosystem	wd:Q19817101	coastal landform	high		mudflat		[info(label,label,downcase)]	[info(label,label,downcase)]								
obo:ENVO_00000193	olive grove	wd:Q3350685	olive grove	obo:ENVO_00000117	plantation	wd:Q236371	orchard	high		olive grove		[info(label,label,downcase)]	[info(label,label,downcase)]								
obo:ENVO_00000194	scree	wd:Q1133195	scree	obo:ENVO_00010483	environmental material	wd:Q271669	landform	high		scree		[info(label,label,downcase)]	[info(label,label,downcase)]								
obo:ENVO_00000197	endorheic lake	wd:Q9019918	endorheic lake	obo:ENVO_00000020	lake	wd:Q23397	lake	high		endorheic lake		[info(label,label,downcase)]	[info(label,label,downcase)]								
obo:ENVO_00000199	meromictic lake	wd:Q1165822	meromictic lake	obo:ENVO_00000020	lake	wd:Q23397	lake	high		meromictic lake		[info(label,label,downcase)]	[info(label,label,downcase)]								
obo:ENVO_00000200	periglacial lake	wd:Q28208708	periglacial lake	obo:ENVO_00000488	glacial lake	wd:Q211302	glacial lake	high		periglacial lake		[info(label,label,downcase)]	[info(label,label,downcase)]								
obo:ENVO_00000202	oxbow lake	wd:Q209333	oxbow lake	obo:ENVO_00000020	lake	wd:Q180537|wd:Q23397	meander|lake	high		oxbow lake		[info(label,label,downcase)]	[info(label,label,downcase)]								
obo:ENVO_00000203	rift lake	wd:Q6341928	rift lake	obo:ENVO_01001092	tectonic lake	wd:Q23397	lake	high		rift lake		[info(label,label,downcase)]	[info(label,label,downcase)]								
obo:ENVO_00000215	hydrothermal vent	wd:Q867648	hydrothermal vent	obo:ENVO_00000027	spring			high		hydrothermal vent		[info(label,label,downcase)]	[info(label,label,downcase)]								
obo:ENVO_00000216	fumarole	wd:Q105880	fumarole	obo:ENVO_01000667	geological fracture	wd:Q271669|wd:Q29436423	landform|volcanic phenomenon	high		fumarole		[info(exact,label,downcase),info(label,label,downcase)]	[info(exact,label,downcase),info(label,label,downcase)]								
obo:ENVO_00000218	black smoker	wd:Q1335848	black smoker	obo:ENVO_01000122	marine hydrothermal vent	wd:Q867648	hydrothermal vent	high		black smoker		[info(label,label,downcase)]	[info(label,label,downcase)]								
obo:ENVO_00000220	archipelago	wd:Q33837	archipelago	obo:ENVO_01000813	astronomical body part	wd:Q205895|wd:Q271669	landmass|landform	high		archipelago		[info(label,label,downcase)]	[info(label,label,downcase)]								
obo:ENVO_00000223	continental shelf	wd:Q134851	continental shelf	obo:ENVO_00002000|obo:ENVO_01000298	slope|continental margin	wd:Q2168243|wd:Q271669	shallow|landform	high		continental shelf		[info(label,label,downcase)]	[info(label,label,downcase)]								
obo:ENVO_00000231	moor	wd:Q34795826	moor	obo:ENVO_00000243	freshwater wetland ecosystem	wd:Q271669	landform	high		moor		[info(label,label,downcase)]	[info(label,label,downcase)]								
obo:ENVO_00000232	fen	wd:Q514050	fen	obo:ENVO_00000044	peatland	wd:Q1681353	bog	high		fen		[info(label,label,downcase)]	[info(label,label,downcase)]								
obo:ENVO_00000233	swamp ecosystem	wd:Q166735	swamp	obo:ENVO_01001209	wetland ecosystem			high		swamp		[info(exact,label,downcase)]	[info(exact,label,downcase)]								
obo:ENVO_00000234	bayou	wd:Q812585	bayou	obo:ENVO_00000023	stream	wd:Q15324	body of water	high		bayou		[info(label,label,downcase)]	[info(label,label,downcase)]								
obo:ENVO_00000235	carr	wd:Q910817	carr	obo:ENVO_00000232	fen	wd:Q170321|wd:Q4421|wd:Q793999	wetland|forest|azonal vegetation	high		carr		[info(label,label,downcase)]	[info(label,label,downcase)]								
obo:ENVO_00000244	abyssal plain	wd:Q570554	abyssal plain	obo:ENVO_00000086	plain	wd:Q160091|wd:Q55182671	plain|undersea landform	high		abyssal plain		[info(label,label,downcase)]	[info(label,label,downcase)]								
obo:ENVO_00000245	maar	wd:Q192503	maar	obo:ENVO_00000514	crater	wd:Q109391	volcanic crater	high		maar		[info(label,label,downcase)]	[info(label,label,downcase)]								
obo:ENVO_00000246	volcanic crater	wd:Q109391	volcanic crater	obo:ENVO_00000094|obo:ENVO_00000514	volcanic feature|crater	wd:Q29025902|wd:Q3240715	volcanic landform|crater	high		volcanic crater		[info(label,label,downcase)]	[info(label,label,downcase)]								
obo:ENVO_00000247	volcano	wd:Q8072	volcano	obo:ENVO_00000094|obo:ENVO_01000667	volcanic feature|geological fracture	wd:Q29025902|wd:Q8502	volcanic landform|mountain	high		volcano		[info(exact,label,downcase),info(label,label,downcase)]	[info(exact,label,downcase),info(label,label,downcase)]								
obo:ENVO_00000251	ground moraine	wd:Q165493	Ground moraine	obo:ENVO_00000177	moraine	wd:Q180184	sediment	high		ground moraine		[info(label,label,downcase)]	[info(label,label,downcase)]								
obo:ENVO_00000252	terminal moraine	wd:Q1585022	terminal moraine	obo:ENVO_00000177	moraine	wd:Q2610088	moraine	high		terminal moraine		[info(label,label,downcase)]	[info(label,label,downcase)]								
obo:ENVO_00000258	alluvial plain	wd:Q656586	alluvial plain	obo:ENVO_00000086	plain	wd:Q160091	plain	high		alluvial plain		[info(label,label,downcase)]	[info(label,label,downcase)]								
obo:ENVO_00000260	prairie	wd:Q194281	prairie	obo:ENVO_00000106	grassland area	wd:Q1006733	grassland	high		prairie		[info(label,label,downcase)]	[info(label,label,downcase)]								
obo:ENVO_00000261	savanna	wd:Q42320	savanna	obo:ENVO_00000106	grassland area	wd:Q1006733	grassland	high		savanna		[info(exact,label,downcase),info(label,label,downcase)]	[info(exact,label,downcase),info(label,label,downcase)]								
obo:ENVO_00000262	steppe	wd:Q123991	steppe	obo:ENVO_00000106	grassland area	wd:Q1006733	grassland	high		steppe		[info(label,label,downcase)]	[info(label,label,downcase)]								
obo:ENVO_00000265	guyot	wd:Q151957	guyot	obo:ENVO_00000264	seamount	wd:Q503269	seamount	high		guyot		[info(label,label,downcase)]	[info(label,label,downcase)]								
obo:ENVO_00000266	pasture	wd:Q30121	pasture	obo:ENVO_00000106|obo:ENVO_01001200|obo:ENVO_00000078	grassland area|anthropised terrestrial environmental zone|farm	wd:Q7777019	meadow	high		pasture		[info(label,label,downcase)]	[info(label,label,downcase)]								
obo:ENVO_00000267	submarine canyon	wd:Q963729	submarine canyon	obo:ENVO_00000169	canyon	wd:Q150784|wd:Q55182671	canyon|undersea landform	high		submarine canyon		[info(label,label,downcase)]	[info(label,label,downcase)]								
obo:ENVO_00000272	confluence	wd:Q723748	confluence	obo:ENVO_00000012|obo:ENVO_00000023	hydrographic feature|stream	wd:Q863944	land waters	high		confluence		[info(exact,label,downcase),info(label,label,downcase)]	[info(exact,label,downcase),info(label,label,downcase)]								
obo:ENVO_00000273	continental slope	wd:Q1031696	continental slope	obo:ENVO_00002000|obo:ENVO_01000298	slope|continental margin	wd:Q271669	landform	high		continental slope		[info(label,label,downcase)]	[info(label,label,downcase)]								
obo:ENVO_00000274	continental rise	wd:Q332602	continental rise	obo:ENVO_00002000|obo:ENVO_01000298	slope|continental margin	wd:Q271669	landform	high		continental rise		[info(exact,label,downcase),info(label,label,downcase)]	[info(exact,label,downcase),info(label,label,downcase)]								
obo:ENVO_00000276	drumlin	wd:Q192701	drumlin	obo:ENVO_00000083	hill	wd:Q54050	hill	high		drumlin		[info(label,label,downcase)]	[info(label,label,downcase)]								
obo:ENVO_00000277	dry lake	wd:Q14253637	dry lake	obo:ENVO_00000309	depression	wd:Q190429|wd:Q4687862	depression|aeolian landform	high		dry lake		[info(label,label,downcase)]	[info(label,label,downcase)]								
obo:ENVO_00000280	escarpment	wd:Q1174791	escarpment	obo:ENVO_00002000	slope	wd:Q271669	landform	high		escarpment		[info(exact,label,downcase),info(label,label,downcase)]	[info(exact,label,downcase),info(label,label,downcase)]								
obo:ENVO_00000282	esker	wd:Q332784	esker	obo:ENVO_00000283	ridge	wd:Q2421276	glacial landform	high		esker		[info(label,label,downcase)]	[info(label,label,downcase)]								
obo:ENVO_00000287	butte	wd:Q6554910	butte	obo:ENVO_01001491	flattened elevation	wd:Q271669	landform	high		butte		[info(exact,label,downcase),info(label,label,downcase)]	[info(exact,label,downcase),info(label,label,downcase)]								
obo:ENVO_00000289	horst	wd:Q212136	horst	obo:ENVO_00000176	elevation	wd:Q271669|wd:Q35145263	landform|natural geographic object	high		horst		[info(label,label,downcase)]	[info(label,label,downcase)]								
