obo:GAZ_00000366	Leeuwin Current	wd:Q1288064	Leeuwin Current	obo:GAZ_00000361	Indian Ocean current	wd:Q129558	ocean current	high		leeuwin current		info(label-label,rdf(obo:GAZ_00000366,rdfs:label,Leeuwin Current)-rdf(wd:Q1288064,rdfs:label,Leeuwin Current),downcase)									
obo:GAZ_00000368	West Australian Current	wd:Q924509	West Australian Current	obo:GAZ_00000361	Indian Ocean current	wd:Q129558	ocean current	high		west australian current		info(label-label,rdf(obo:GAZ_00000368,rdfs:label,West Australian Current)-rdf(wd:Q924509,rdfs:label,West Australian Current),downcase)									
obo:GAZ_00000370	Mozambique Current	wd:Q58708	Mozambique Current	obo:GAZ_00000361	Indian Ocean current	wd:Q129558	ocean current	high		mozambique current		info(label-label,rdf(obo:GAZ_00000370,rdfs:label,Mozambique Current)-rdf(wd:Q58708,rdfs:label,Mozambique Current),downcase)									
obo:GAZ_00000376	Antarctic Circumpolar Current	wd:Q55828	Antarctic Circumpolar Current	obo:GAZ_01000004	Southern Ocean Current	wd:Q129558	ocean current	high		antarctic circumpolar current		info(label-label,rdf(obo:GAZ_00000376,rdfs:label,Antarctic Circumpolar Current)-rdf(wd:Q55828,rdfs:label,Antarctic Circumpolar Current),downcase)									
obo:GAZ_00000378	South Atlantic Ocean	wd:Q1482804	South Atlantic Ocean	obo:GAZ_00000344	Atlantic Ocean	wd:Q165	sea	high		south atlantic ocean		info(label-label,rdf(obo:GAZ_00000378,rdfs:label,South Atlantic Ocean)-rdf(wd:Q1482804,rdfs:label,South Atlantic Ocean),downcase)									
obo:GAZ_00000408	Quebrada La Merced	wd:Q35451342	Quebrada La Merced	obo:GAZ_00011673	Pichincha Province	wd:Q47521	stream	high		quebrada la merced		info(label-label,rdf(obo:GAZ_00000408,rdfs:label,Quebrada La Merced)-rdf(wd:Q35451342,rdfs:label,Quebrada La Merced),downcase)									
obo:GAZ_00000424	Cayambe Canton	wd:Q1990489	Cayambe Canton	obo:GAZ_00011673	Pichincha Province	wd:Q1724017	canton of Ecuador	high		cayambe canton		info(label-label,rdf(obo:GAZ_00000424,rdfs:label,Cayambe Canton)-rdf(wd:Q1990489,rdfs:label,Cayambe Canton),downcase)									
obo:GAZ_0000043	Moyen-Chari Region	wd:Q177799	Moyen-Chari Region	obo:GAZ_00000830	Region (Chad)	wd:Q640262	region of Chad	high		moyen-chari region		info(label-label,rdf(obo:GAZ_0000043,rdfs:label,Moyen-Chari Region)-rdf(wd:Q177799,rdfs:label,Moyen-Chari Region),downcase)									
obo:GAZ_00000448	geographic location	wd:Q2221906	geographic location					high		geographic location		info(label-label,rdf(obo:GAZ_00000448,rdfs:label,geographic location)-rdf(wd:Q2221906,rdfs:label,geographic location),downcase)									
obo:GAZ_00000562	Tunisia	wd:Q948	Tunisia	obo:GAZ_00000555	North Africa	wd:Q7270|wd:Q6256|wd:Q3624078	republic|country|sovereign state	high		tunisia		info(label-label,rdf(obo:GAZ_00000562,rdfs:label,Tunisia)-rdf(wd:Q948,rdfs:label,Tunisia),downcase)									
obo:GAZ_00000580	Alhucemas Islands	wd:Q1184963	Alhucemas Islands	obo:GAZ_00000568|obo:GAZ_00002458	Plazas de soberania|Alboran Sea	wd:Q1402592	island group	high		alhucemas islands		info(label-label,rdf(obo:GAZ_00000580,rdfs:label,Alhucemas Islands)-rdf(wd:Q1184963,rdfs:label,Alhucemas Islands),downcase)									
obo:GAZ_00000588	Central Africa	wd:Q27433	Central Africa	obo:GAZ_00000587	Sub-Saharan Africa	wd:Q82794	geographic region	high		central africa		info(label-label,rdf(obo:GAZ_00000588,rdfs:label,Central Africa)-rdf(wd:Q27433,rdfs:label,Central Africa),downcase)									
obo:GAZ_00000594	Chlef Province	wd:Q231752	Chlef Province	obo:GAZ_00000641	Province (Algeria)	wd:Q240601	province of Algeria	high		chlef province		info(label-label,rdf(obo:GAZ_00000594,rdfs:label,Chlef Province)-rdf(wd:Q231752,rdfs:label,Chlef Province),downcase)									
obo:GAZ_00000595	Laghouat Province	wd:Q231748	Laghouat Province	obo:GAZ_00000641	Province (Algeria)	wd:Q240601	province of Algeria	high		laghouat province		info(label-label,rdf(obo:GAZ_00000595,rdfs:label,Laghouat Province)-rdf(wd:Q231748,rdfs:label,Laghouat Province),downcase)									
obo:GAZ_00000606	Tiaret Province	wd:Q233258	Tiaret Province	obo:GAZ_00000641	Province (Algeria)	wd:Q240601	province of Algeria	high		tiaret province		info(label-label,rdf(obo:GAZ_00000606,rdfs:label,Tiaret Province)-rdf(wd:Q233258,rdfs:label,Tiaret Province),downcase)									
obo:GAZ_00000608	Algiers Province	wd:Q141026	Algiers Province	obo:GAZ_00000641	Province (Algeria)	wd:Q240601	province of Algeria	high		algiers province		info(label-label,rdf(obo:GAZ_00000608,rdfs:label,Algiers Province)-rdf(wd:Q141026,rdfs:label,Algiers Province),downcase)									
obo:GAZ_00000610	Jijel Province	wd:Q235718	Jijel Province	obo:GAZ_00000641	Province (Algeria)	wd:Q240601	province of Algeria	high		jijel province		info(label-label,rdf(obo:GAZ_00000610,rdfs:label,Jijel Province)-rdf(wd:Q235718,rdfs:label,Jijel Province),downcase)									
obo:GAZ_00000617	Constantine Province	wd:Q232043	Constantine Province	obo:GAZ_00000641	Province (Algeria)	wd:Q240601	province of Algeria	high		constantine province		info(label-label,rdf(obo:GAZ_00000617,rdfs:label,Constantine Province)-rdf(wd:Q232043,rdfs:label,Constantine Province),downcase)									
obo:GAZ_00000619	Mostaganem Province	wd:Q221445	Mostaganem Province	obo:GAZ_00000641	Province (Algeria)	wd:Q240601	province of Algeria	high		mostaganem province		info(label-label,rdf(obo:GAZ_00000619,rdfs:label,Mostaganem Province)-rdf(wd:Q221445,rdfs:label,Mostaganem Province),downcase)									
